price_czk,lat,lon,500m_atm_distance,500m_bus_public_transport_distance,500m_kindergarten_distance,500m_medic_distance,500m_metro_distance,500m_playground_distance,500m_post_office_distance,500m_restaurant_distance,500m_school_distance,500m_shop_distance,500m_small_shop_distance,500m_train_distance,500m_vet_distance,category_sub_cb_1+kk,category_sub_cb_2+1,category_sub_cb_2+kk,category_sub_cb_3+1,category_sub_cb_3+kk,category_sub_cb_4+1,category_sub_cb_4+kk,category_sub_cb_5+1,category_sub_cb_5+kk,category_sub_cb_6 a více,category_sub_cb_Atypický,district_Praha 1,district_Praha 10,district_Praha 2,district_Praha 3,district_Praha 4,district_Praha 5,district_Praha 6,district_Praha 7,district_Praha 8,district_Praha 9,condition_in development,condition_new,condition_very good
10188694.0,49.969567605394,14.3889820919431,1,1,1,1,0,1,1,1,1,0,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
9990000.0,50.0900142417677,14.4637174291986,1,1,1,0,0,1,0,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
11399300.0,50.0833112546795,14.4235354942819,1,1,1,1,1,1,1,1,1,1,1,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
7289190.0,50.055890315469,14.5170040659434,1,1,1,1,0,1,1,1,0,1,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
15590000.0,50.0908142646,14.4472232076,1,1,0,1,1,1,0,1,1,0,1,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
39500000.0,50.0854759159671,14.4141406717371,1,1,1,1,1,1,0,1,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
22950000.0,50.0712168136888,14.4030884969025,1,1,0,1,1,1,1,1,1,1,0,0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
19650000.0,50.0835360464895,14.4303708878631,1,1,1,1,1,1,1,1,1,1,1,1,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
11500000.0,50.0800597740917,14.4472458213595,1,1,1,1,1,1,0,1,1,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
24500000.0,50.0753197939615,14.4566232506754,1,1,1,0,1,1,0,1,1,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
39900000.0,50.0780607866733,14.4160631894146,1,1,1,1,1,1,0,1,1,1,0,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
27990000.0,50.0912643217702,14.421435724248,1,1,1,1,1,1,1,1,1,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
16500000.0,50.0866637692505,14.4465780739091,1,1,1,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
19600000.0,50.0904058629772,14.4409929773224,1,1,0,0,1,1,0,1,1,1,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
21800000.0,50.0649152881548,14.4097887696792,1,1,1,0,1,1,0,1,0,0,1,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
13800000.0,50.0753087782274,14.4056549325744,1,1,0,1,1,1,1,1,1,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
34500000.0,50.0896433404469,14.4217051156907,1,1,1,1,1,1,1,1,1,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.0,50.0860423210015,14.4313404306291,1,1,0,1,1,1,1,1,1,1,1,1,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
26500000.0,50.0556015579994,14.491637293096,1,1,0,1,0,1,0,0,1,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
34500000.0,50.0991189454806,14.4035863124957,1,1,1,1,1,1,1,1,1,0,1,1,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
28900000.0,50.0827524973766,14.3801459330654,1,1,1,1,0,1,0,1,1,0,0,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
41500000.0,50.0924952524695,14.3854662041465,0,1,1,0,0,1,0,0,1,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
35000000.0,50.0904869589328,14.4217134362362,1,1,1,1,1,1,1,1,1,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
16000000.0,50.0046355380211,14.4164992598189,1,1,1,1,0,1,1,1,1,1,1,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
10432458.0,50.0920746969887,14.4341174278784,1,1,1,1,1,1,0,1,1,1,1,1,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
8879671.0,50.0714531878971,14.4084551277943,1,1,0,1,1,1,1,1,1,1,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
14687388.0,50.0714531878971,14.4084551277943,1,1,0,1,1,1,1,1,1,1,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
11913600.0,50.0770553115917,14.4166844802758,1,1,1,1,1,1,0,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
14750000.0,50.0832125004248,14.4519871653158,1,1,1,1,0,1,0,1,1,0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
18990000.0,50.0783977665223,14.4415455708567,1,1,1,1,1,1,1,1,1,0,1,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
23850000.0,50.0775026956805,14.4623975204765,1,1,1,0,1,1,0,1,1,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
24000000.0,50.0910925193115,14.422104193771,1,1,1,1,1,1,1,1,1,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
12982560.0,50.0714531878971,14.4084551277943,1,1,0,1,1,1,1,1,1,1,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
17900000.0,50.0728404997292,14.4367093653408,1,1,1,1,1,0,1,1,1,0,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
17360000.0,50.1001076824114,14.380122091096,0,1,1,1,0,1,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
34500000.0,50.0935640285728,14.4553776308023,1,0,1,1,1,1,0,1,1,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
13900000.0,50.140384856853,14.5473109229147,0,1,0,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
47750000.0,50.0714411135288,14.4381370972845,1,1,1,1,0,0,0,1,1,0,1,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
26500000.0,50.0760067971261,14.3934389580589,0,1,1,0,0,1,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
12900000.0,50.1063840267761,14.4551473677198,1,1,1,1,0,1,0,1,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
18490000.0,50.0844465030313,14.4142747925035,1,1,1,1,1,1,0,1,1,1,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
25990000.0,50.0844465030313,14.4142747925035,1,1,1,1,1,1,0,1,1,1,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
36000000.0,50.0761681198497,14.4281304304678,1,1,1,1,1,1,0,1,1,0,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
25000000.0,50.0787730975611,14.4348804101632,1,1,1,1,1,0,0,1,1,0,1,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
13500000.0,50.0574542518099,14.4479590895767,1,1,1,1,0,1,0,1,1,0,1,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
19900000.0,50.0881452024697,14.4638671979828,1,1,1,0,0,1,0,1,1,0,1,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
19900000.0,50.0903456567102,14.4248591864512,1,1,1,1,1,1,1,1,1,1,0,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
9990000.0,50.0900142417677,14.4637174291986,1,1,1,0,0,1,0,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
13232000.0,50.0899287006618,14.4447132339377,1,1,0,1,1,1,0,1,1,0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
12159522.0,50.0695011362419,14.4091264880774,1,1,0,1,1,1,1,1,1,1,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
17900000.0,50.0728768719648,14.4425003948132,1,1,1,1,1,1,1,1,1,0,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
13000000.0,50.1017952033545,14.4259205026208,1,1,1,1,0,1,1,1,1,0,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
12900000.0,50.1017952033545,14.4259205026208,1,1,1,1,0,1,1,1,1,0,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
58720000.0,50.0911183917154,14.4216716334417,1,1,1,1,1,1,1,1,1,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
12500000.0,50.0844596985833,14.4057841720748,1,1,1,1,0,1,1,1,1,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
20000000.0,50.0925912193223,14.4556547451432,1,0,1,1,1,1,0,1,1,0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
24900000.0,50.068878728954,14.4155049738534,1,0,1,1,1,1,0,1,1,0,1,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
20000000.0,50.0767774323506,14.4491776453989,1,1,1,1,1,1,0,1,1,0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
15490000.0,50.1036094,14.4321494,1,1,1,1,0,1,0,1,1,0,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
16500000.0,50.1017952033545,14.4259205026208,1,1,1,1,0,1,1,1,1,0,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
5750000.0,50.014993271880016,14.445395660459761,1,1,1,1,0,1,0,1,1,0,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
8495000.0,50.1066389533255,14.4525827297152,1,1,1,1,0,1,0,1,1,0,1,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
10599000.0,50.0133689947247,14.5873338031157,0,1,1,0,0,1,0,1,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
23780000.0,50.087421,14.406035,1,1,1,1,1,1,1,1,1,0,1,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
9900000.0,50.01245777791542,14.3489977754431,0,0,1,0,0,1,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
16480000.0,50.09155298495791,14.434230985973272,1,1,1,1,1,1,1,1,1,1,0,1,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
16190000.0,50.0882025754351,14.4841052624596,1,1,1,0,0,1,0,1,1,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
9491000.0,50.0851287841797,14.3719987869263,1,1,1,1,0,1,0,1,1,0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
5990000.0,50.0780235126135,14.3041624969992,1,1,0,0,0,1,0,1,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
4650000.0,50.0085425417311,14.4296212484463,1,1,1,0,0,1,0,1,1,0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
7470000.0,50.1301781115236,14.4198210927354,1,1,1,1,0,1,1,1,1,1,1,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
8490000.0,50.0441671000694,14.5517145464233,1,1,1,1,0,1,0,1,1,0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
9990000.0,50.0778283464053,14.4325453827843,1,1,1,1,1,0,0,1,1,0,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
14495000.0,50.0910584625251,14.4203396194445,1,1,1,1,1,1,1,1,1,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
9290000.0,50.0845528372,14.4177821523,1,1,1,1,0,1,1,1,1,0,1,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
9390000.0,50.0835577211606,14.4510429827241,1,1,1,0,0,1,0,1,1,0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
18900000.0,50.0745761068967,14.401965572148994,1,1,1,1,0,1,1,1,1,0,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
22431000.0,50.0778884887695,14.4653415679932,1,1,1,1,1,1,0,1,1,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
12360000.0,50.0768370100767,14.4695385692935,1,1,1,1,1,1,0,0,1,0,1,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
8100000.0,50.0835577211606,14.4510429827241,1,1,1,1,0,1,0,1,1,0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
12380000.0,50.0699702648093,14.4697482491919,1,1,1,0,0,1,0,1,1,1,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
18235300.0,50.0917556892819,14.3239588995757,1,1,1,1,0,1,0,1,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
16223700.0,50.0917556892819,14.3239588995757,1,1,1,1,0,1,0,1,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
20464020.0,50.0917556892819,14.3239588995757,1,1,1,1,0,1,0,1,0,0,1,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
7880000.0,50.0441840248344,14.4597876608056,1,1,1,1,1,1,0,1,1,0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
7495000.0,50.1268090834078,14.4234768051491,1,1,1,1,0,1,1,1,1,1,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
9290000.0,50.012311,14.419133,1,1,1,1,0,1,0,1,1,1,1,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
8893000.0,50.0351471073309,14.5058324636782,1,1,1,1,0,1,0,1,1,1,1,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
