,city,city_seo_name,citypart,citypart_seo_name,country,country_id,country_seo_name,district,district_id,district_seo_name,entity_type,geohash,gps_lat,gps_lon,housenumber,inaccuracy_type,municipality,municipality_id,municipality_seo_name,quarter,quarter_id,quarter_seo_name,region,region_id,region_seo_name,street,street_id,street_seo_name,streetnumber,ward,ward_id,ward_seo_name
368,Praha,praha,Vinohrady,vinohrady,Česká republika,112,ceska-republika,Praha 2,5002,praha-2,address,u2fkbe9ys7,50.074069215802155,14.438623245393726,230,address,,3468,,Praha 2,88,praha-2,Hlavní město Praha,10,hlavni-mesto-praha,Uruguayská,122490,uruguayska,22,,14967,
369,Praha,praha,Horní Měcholupy,horni-mecholupy,Česká republika,112,ceska-republika,Praha 10,5010,praha-10,address,u2fkemws6q,50.0407411,14.5659149,,gps,,3468,,Praha 15,133,praha-15,Hlavní město Praha,10,hlavni-mesto-praha,Janovská,125297,janovska,,,13719,
370,Praha,praha,Stodůlky,stodulky,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhtwsthn,50.046361904344,14.3105563709592,,street,,3468,,Praha 13,98,praha-13,Hlavní město Praha,10,hlavni-mesto-praha,Hábova,125012,habova,,,14962,
371,Praha,praha,Stodůlky,stodulky,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhtwsthn,50.046361904344,14.3105563709592,,street,,3468,,Praha 13,98,praha-13,Hlavní město Praha,10,hlavni-mesto-praha,Hábova,125012,habova,,,14962,
372,Praha,praha,Stodůlky,stodulky,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhtwsthn,50.046361904344,14.3105563709592,,street,,3468,,Praha 13,98,praha-13,Hlavní město Praha,10,hlavni-mesto-praha,Hábova,125012,habova,,,14962,
373,Praha,praha,Modřany,modrany,Česká republika,112,ceska-republika,Praha 4,5004,praha-4,address,u2fk2qtdgh,50.0020206269547,14.4327308212783,3371,address,,3468,,Praha 12,92,praha-12,Hlavní město Praha,10,hlavni-mesto-praha,Urbánkova,119624,urbankova,69,,13681,
374,Praha,praha,Žižkov,zizkov,Česká republika,112,ceska-republika,Praha 3,5003,praha-3,address,u2fkcwcv1h,50.09167201455713,14.482432091747086,1868,address,,3468,,Praha 3,89,praha-3,Hlavní město Praha,10,hlavni-mesto-praha,Biskupcova,119296,biskupcova,93,,14971,
375,Praha,praha,Černý Most,cerny-most,Česká republika,112,ceska-republika,Praha 9,5009,praha-9,address,u2fm58csex,50.102591399,14.57009031,1012,gps,,3468,,Praha 14,120,praha-14,Hlavní město Praha,10,hlavni-mesto-praha,Vašátkova,125165,vasatkova,18,,13711,
376,Praha,praha,Troja,troja,Česká republika,112,ceska-republika,Praha 8,5008,praha-8,street,u2fm0mjng6,50.126293129830934,14.432064547222891,,street,,3468,,Praha 8,115,praha-8,Hlavní město Praha,10,hlavni-mesto-praha,Velká skála,141642,velka-skala,,,14965,
377,Praha,praha,Žižkov,zizkov,Česká republika,112,ceska-republika,Praha 3,5003,praha-3,address,u2fkcq25n4,50.0885696411133,14.4692602157593,1692,gps,,3468,,Praha 3,89,praha-3,Hlavní město Praha,10,hlavni-mesto-praha,Jeseniova,119904,jeseniova,93,,14971,
